Code,CamId,Name,Location,Type,Publish,Management Unit,CamStatus,PTZ,Angle,DisplayName,VideoUrl,VideoStreaming,StartTime,EndTime
TTH 28.5,586e266ef9fab7001111b0b0,TTH 28.5,"[10.8140847327392, 106.633150577545]",tth,True,,UP,False,240,Trường Chinh - Phạm Văn Bạch 1,,0,5/20/17 11:14,11/16/25 14:20
TTH 198,63ae7a74bfd3d90017e8f2c7,TTH 198,"[10.7778940148849, 106.665540933609]",tth,True,,UP,True,,Tô Hiến Thành – Sư Vạn Hạnh,,0,12/30/22 13:00,11/15/25 18:50
TTH 33.6,59d3414302eb490011a0a610,TTH 33.6,"[10.8674828287814, 106.803814172745]",tth,True,,UP,False,45,Xa Lộ Hà Nội - Đường 120,http://125.234.114.126:11984/api/stream.m3u8?src=Xa%20L%E1%BB%99%20H%C3%A0%20N%E1%BB%99i%20-%20%C4%90%C6%B0%E1%BB%9Dng%20120&mp4,1,11/4/17 7:09,11/7/25 14:10
TTH 274,6623e9e96f998a001b2525ce,TTH 274,"[10.7958634513952, 106.681923866272]",tth,True,,UP,True,,Phan Đình Phùng - Huynh Văn Bánh,,0,4/29/24 14:02,11/18/25 17:32
TTH 199,63ae7a9cbfd3d90017e8f303,TTH 199,"[10.7727295794518, 106.679091453552]",tth,True,,UP,True,,Điện Biên Phủ – Cao Thắng,,0,12/30/22 13:00,10/27/25 15:50
IDICO-QL1 26,5a6085188576340017d06682,IDICO-QL1 26,"[10.7563292750288, 106.592434644699]",tth,True,,NOT_IMAGE,True,270,QL1-Tỉnh lộ 10 (2),,0,7/18/20 7:20,11/13/25 11:30
TTH 1.4,58d8ebd2dc195800111e0429,TTH 1.4,"[10.7940349390493, 106.755899190903]",tth,True,,NOT_IMAGE,False,240,Cao tốc LTDG - Cầu Bà Dạt 2,http://125.234.114.126:11984/api/stream.m3u8?src=Cao%20T%E1%BB%91c%20LTDG%20-%20c%E1%BA%A7u%20B%C3%A0%20D%E1%BA%A1t%202&mp4,1,5/20/17 11:14,6/5/25 9:03
TTH 44.7,5a606a0f8576340017d0661e,TTH 44.7,"[10.8200809679719, 106.704116463661]",tth,True,,UP,False,,Nơ Trang Long - Nguyễn Xí,,0,1/19/18 7:00,10/23/25 6:10
TTH 5.2,56de42f611f398ec0c481286,TTH 5.2,"[10.7733830435244, 106.722918748856]",tth,True,Management Center of Sai Gon River Tunnel,UP,False,225,Mai Chí Thọ - Nguyễn Cơ Thạch 2,,0,5/20/17 11:14,7/17/25 15:34
TTH 293,6623f14b6f998a001b2527f0,TTH 293,"[10.8037570167341, 106.632571220398]",tth,True,,UP,True,,Tân Kỳ Tân Quý - Lê Trọng Tấn,,0,4/29/24 14:03,11/18/25 17:14
TTH 337,662b4f411afb9c00172d86fc,TTH 337,"[10.7497836602495, 106.642361283302]",tth,True,,UP,True,,Hậu Giang - Minh Phụng,,0,4/29/24 14:02,11/18/25 17:20
TTH 0008,6792f9c88c5ed4001b27fb3d,TTH 0008,"[10.8880966294513, 106.776037216187]",tth,True,,NOT_IMAGE,False,,Quốc Lộ 1K - Đường GS1,http://125.234.114.126:11984/api/stream.m3u8?src=Qu%E1%BB%91c%20l%E1%BB%99%201K%20-%20B%C3%ACnh%20D%C6%B0%C6%A1ng&mp4,1,1/29/25 1:31,11/20/25 10:00
TTH 395,662b843d1afb9c00172dd02d,TTH 395,"[10.7771984022141, 106.701825857162]",tth,True,,UP,True,,Lê Thánh Tôn - Đồng Khởi,,0,4/29/24 14:03,11/18/25 16:34
TTH 21.53,595d9b3b3dcfc400106f287e,TTH 21.53,"[10.8592853785591, 106.70542538166]",tth,True,,UP,False,270,Quốc lộ 1 - An Phú Đông 12 (1),,0,7/21/18 7:03,11/7/25 13:01
TTH 26.7,58df50ffdc195800111e04c0,TTH 26.7,"[10.8009484488364, 106.660755872726]",tth,True,,NOT_IMAGE,False,225,Cộng Hòa - Thăng Long,,0,5/20/17 11:14,11/6/25 19:11
TTH 344,662b50e51afb9c00172d886a,TTH 344,"[10.7559709036596, 106.624610424042]",tth,True,,UP,True,,Bà Hom - An Dương Vương,,0,4/29/24 14:04,11/18/25 17:31
ITS 8.51,5deb576d1dc17d7c5515ad1a,ITS 8.51,"[10.779127, 106.697417]",tth,True,,UP,True,,Pasteur - Lê Duẩn,,0,12/10/19 9:15,11/19/25 17:34
ITS 7.1,5deb576d1dc17d7c5515ad0b,ITS 7.1,"[10.775615, 106.699042]",tth,True,,UP,True,,Nam Kỳ Khởi Nghĩa - Lý Tự Trọng,,0,12/10/19 9:15,11/18/25 17:10
IDICO-QL1 32,5a6087858576340017d0668e,IDICO-QL1 32,"[10.7414565055181, 106.598871946335]",tth,True,,UP,False,150,QL1-Trạm Biến Áp 500Kv Phú Lâm,,0,7/21/18 7:03,11/18/25 9:41
TTH 333,662b4e581afb9c00172d862f,TTH 333,"[10.7604188946108, 106.677095890045]",tth,True,,UP,True,,Lê Hồng Phong - Trần Phú,,0,4/29/24 14:04,11/18/25 17:14
TTH 21.11,587464e2b807da0011e33cd9,TTH 21.11,"[10.8699588780888, 106.733132600784]",tth,True,,UP,False,60,Cầu vượt nút giao thông Gò Dưa,,0,5/20/17 11:14,10/23/25 17:20
TTH 21.42,58afdbaebd82540010390c48,TTH 21.42,"[10.689411864849, 106.592531204224]",tth,True,,UP,False,60,Quốc lộ 1 - Cao tốc Trung Lương,,0,5/20/17 11:14,10/23/25 6:10
TTH 223,63b54c51bfd3d90017ea7aa0,TTH 223,"[10.8266882798502, 106.760228276253]",tth,True,,UP,True,,Đường số 1 - Nguyễn Văn Bá,,0,1/4/23 17:10,11/6/25 20:30
TTH 38.8,58ad6214bd82540010390be2,TTH 38.8,"[10.8013120360293, 106.647366285324]",tth,True,,UP,False,15,Cộng Hòa - Hoàng Hoa Thám,,0,5/20/17 11:14,11/14/25 1:11
ITS 6.51,5deb576d1dc17d7c5515ad09,ITS 6.51,"[10.7964536316791, 106.647017598152]",tth,True,,UP,True,,Trường Chinh - Hoàng Hoa Thám,,0,12/10/19 9:15,11/18/25 15:50
TTH 35.3,58af8a0bbd82540010390c25,TTH 35.3,"[10.784533873088, 106.688543558121]",tth,True,,UP,False,45,Nam Kỳ Khởi Nghĩa - Võ Thị Sáu,,0,5/20/17 11:14,7/18/25 9:55
